Sample ID,Accession,Domain,Phylum,Class,Order,Family,Genus,Species,E value,Max score,Total score,Query from,Query to,Hit from,Hit to,Identity,Positive,Similarity[%],Coverage[%],Query length
Ap-04-01,KJ437477.1.1458,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. VIT-SSCJ4,3.33E-87,326.131,176,220,521,201,503,264,264,87.4,56.8,532
Ap-04-02,JQ204730.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,787.793,426,15,482,22,495,459,459,98.1,29.7,1578
Ap-04-04,JQ204730.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,771.173,417,12,490,15,495,462,462,96.5,23.9,2007
Ap-04-05,JQ205807.1.1383,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium,0,896.745,485,26,525,24,524,497,497,99.4,33.9,1475
Ap-04-07,,,,,,,,,,,,,,,,,,,,
Ap-04-08,JQ204730.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,826.573,447,7,488,11,495,474,474,98.3,30.1,1600
Ap-04-09,KP980736.1.1434,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp. Bac255,0,909.672,492,25,523,1,498,497,497,99.6,34.7,1437
Ap-04-10,HM626616.1.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,Otariodibacter oris,2.24E-103,379.683,205,15,233,15,235,217,217,99.1,46.1,475
Ap-04-11,KF999707.1.1439,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina sp. THG-b65,0,881.972,477,16,503,3,487,485,485,99.4,45.2,1080
Ap-04-12,JQ205117.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,854.272,462,19,492,24,498,471,471,99.4,41.9,1132
Ap-04-13,JQ204730.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,821.033,444,15,492,19,495,468,468,97.9,30.4,1571
Ap-05-01,FM165580.1.1502,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter lutiphocae,0,802.566,434,20,487,15,480,457,457,97.6,30.4,1542
Ap-05-02,AOQK01000143.3212.4810,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli TOP498,0,822.879,445,22,491,48,516,462,462,98.3,25.2,1863
Ap-05-03,AOQK01000143.3212.4810,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli TOP498,0,852.426,461,15,499,39,524,481,481,99.2,27.6,1756
Ap-05-04,JN698638.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,0,863.506,467,16,501,6,491,479,479,98.6,31.1,1564
Ap-05-05,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,839.499,454,9,503,6,497,483,483,97.6,35.3,1403
Ap-05-13,AOQK01000143.3212.4810,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli TOP498,0,865.352,468,19,501,44,527,480,480,99.4,49.3,979
Ap-05-15,LV535516.1.1445,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopobacter,Granulicatella sp. M658/99/3,0,728.7,394,22,511,19,511,462,462,94.3,93.3,525
Ap-05-16,AOQK01000143.3212.4810,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli TOP498,0,841.346,455,7,490,31,516,476,476,98.3,25.2,1917
Ap-06-02,KC920584.1.1487,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Shigella sp. 09-A2,0,869.046,470,18,496,16,495,478,478,99.8,53.3,898
Ap-06-10,KU221439.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,bacterium R12,0,867.199,469,12,499,11,497,482,482,98.8,51.3,952
Ap-06-11,AYHW01000002.97217.98744,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae BIDMC 36,0,869.046,470,12,505,31,525,488,488,98.8,45.6,1084
Ap-06-12,KU221439.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,bacterium R12,0,841.346,455,4,486,5,485,474,474,98.1,48.6,993
Ap-06-15,KP980736.1.1434,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp. Bac255,0,898.592,486,22,507,1,486,486,486,100,37.7,1288
Ap-07-04,KU845389.1.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,0,891.205,482,16,500,12,496,484,484,99.8,41.5,1169
Ap-07-05,JN603238.1.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio azureus,0,898.592,486,13,501,10,498,488,488,99.8,41.2,1188
Ap-07-06,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,0,640.061,346,21,483,21,484,428,428,92.4,42.5,1089
Ap-07-08,KU845389.1.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,0,885.665,479,16,509,12,505,490,490,99.2,46,1074
Ap-07-09,JN603238.1.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio azureus,0,893.052,483,15,500,13,498,485,485,99.8,36.1,1348
Ap-08-02,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,3.99E-171,606.821,328,6,482,10,482,433,433,90.8,24.8,1926
Ap-08-03,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,7.75E-173,612.361,331,19,489,22,495,431,431,91.5,27,1742
Ap-09-01,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,0,651.141,352,23,491,24,493,434,434,92.5,47.1,995
Ap-09-02,JQ206569.1.1349,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,9.11E-175,617.901,334,15,491,19,497,436,436,91.4,49.4,965
Ap-09-03,,,,,,,,,,,,,,,,,,,,
Ap-09-05,KF307777.1.1450,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas sp. RD4,7.93E-88,329.824,178,17,253,12,244,220,220,92.8,15,1581
Ap-10-01,KY655126.1.1219,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,869.046,470,18,506,10,496,483,483,98.8,46.4,1053
Ap-10-02,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,0,643.754,348,28,495,27,495,432,432,92.3,51.5,909
Ap-11-01,LEWF01000015.370509.372036,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,1.16E-66,257.805,139,20,459,46,489,347,347,78.9,87.8,501
Ap-11-02,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,4.58E-179,632.674,342,20,486,21,484,429,429,91.9,34.7,1346
Ap-11-12,KU711814.1.1430,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,760.093,411,21,492,1,470,452,452,95.8,92,513
Ap-11-13,KX898813.1.1284,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,0,881.972,477,6,498,1,492,488,488,99,42.1,1172
Ap-11-14,,,,,,,,,,,,,,,,,,,,
Ap-11-16,CP016043.715424.716974,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella hoshinae,0,874.586,473,20,495,53,529,476,476,100,39.5,1206
Ap-12-01,KM111593.1.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,876.432,474,18,498,13,492,479,479,99.6,49.2,978
Ap-12-02,KM111593.1.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,891.205,482,16,507,13,503,489,489,99.4,36,1368
Ap-12-03,KM111593.1.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,876.432,474,18,498,13,492,479,479,99.6,40.4,1190
Ap-12-04,,,,,,,,,,,,,,,,,,,,
Ap-12-05,JQ210381.1.1360,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured bacterium,0,682.534,369,8,496,10,505,455,455,93,43.9,1115
Ap-12-06,KM497509.1.1476,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,0,918.905,497,20,523,2,504,502,502,99.6,46.9,1074
Ap-12-10,EU878340.1.1552,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,uncultured bacterium,0,902.285,488,15,510,36,533,495,495,99.8,46.6,1065
Ap-13-01,HM626611.1.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,Otariodibacter oris,0,846.886,458,12,501,16,508,483,483,98.6,55.2,888
Ap-13-03,JQ215733.1.1343,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,uncultured bacterium,8.16E-180,634.521,343,28,484,27,484,423,423,92.6,52.3,873
Ap-14-03,KP340438.1.1449,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Cronobacter sakazakii,0,876.432,474,14,497,12,494,481,481,99.4,50.2,965
Ap-14-04,KT260812.1.1441,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,874.586,473,22,507,2,485,482,482,99.2,48.7,998
Ap-14-09,JQ205117.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,869.046,470,28,509,28,509,479,479,99.4,53.6,899
Ap-14-10,JQ205814.1.1362,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Otariodibacter,uncultured bacterium,0,850.579,460,23,507,26,509,478,478,98.6,52.8,919
Ap-14-11,KY655126.1.1219,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,876.432,474,18,495,11,487,477,477,99.8,50.5,947
Ap-14-12,,,,,,,,,,,,,,,,,,,,
Ap-14-13,JQ210381.1.1360,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured bacterium,0,684.381,370,16,487,18,495,443,443,93.9,52,908
Ap-15-05,JN571748.1.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,0,878.279,475,18,505,15,500,484,484,99.2,47.7,1023
Ap-15-18,JX905206.1.1506,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus sp. Org,0,893.052,483,12,511,26,522,495,495,99,25.7,1948
Ap-25-02,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,880.126,476,16,491,13,488,476,476,100,41.3,1152
Ap-25-07,,,,,,,,,,,,,,,,,,,,
Ap-25-08,KY655122.1.1370,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,876.432,474,11,490,12,491,478,478,99.6,34.6,1388
Ap-25-09,KC633882.1.1421,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,0,876.432,474,17,496,3,482,478,478,99.6,42.1,1141
Ap-25-10,HQ169124.1.1454,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,863.506,467,17,493,1,476,474,474,99.4,40.5,1177
Ap-26-07,KU245711.1.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium damselae subsp. damselae,0,905.979,490,26,522,7,502,495,495,99.6,47.3,1050
Ap-26-08,KM111593.1.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,881.972,477,17,493,13,489,477,477,100,40.4,1182
Ap-26-09,LC093167.1.1524,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,uncultured bacterium,0,869.046,470,13,496,35,520,482,482,99.6,33.5,1445
Ap-26-11,LC093167.1.1524,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,uncultured bacterium,0,874.586,473,16,506,39,529,487,487,99.2,41.3,1189
Ap-27-01,JUBU01000097.3.1558,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,874.586,473,15,492,48,527,478,478,100,29.2,1639
Ap-28-02,HM451427.1.1294,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,4.32E-71,272.578,147,264,517,203,458,222,222,87.4,48.7,522
Ap-28-04,KM111593.1.1447,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,881.972,477,12,502,10,497,487,487,99.2,50.5,972
Ap-28-06,DQ816171.1.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,uncultured bacterium,0,870.892,471,28,514,25,509,483,483,99.2,50.7,961
Ap-28-07,LC093167.1.1524,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,uncultured bacterium,0,869.046,470,19,497,44,522,477,477,99.6,50.7,945
Ap-28-08,EU878340.1.1552,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,uncultured bacterium,0,907.825,491,20,515,36,533,496,496,100,51.5,963
Ap-30-05,KT260812.1.1441,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,880.126,476,20,495,1,476,476,476,100,41.2,1154
Ap-30-07,JX847611.1.1285,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,0,922.598,499,17,522,2,506,504,504,99.6,47.2,1073
Ap-30-08,KT260812.1.1441,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,883.819,478,18,501,1,484,482,482,99.6,46.1,1049
Ap-32-07,BAUC01000062.159.1682,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella hoshinae NBRC 105699 = ATCC 33379,0,828.419,448,11,487,37,515,471,471,98.7,26.7,1787
Ap-33-02,EU470496.1.1402,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,0,787.793,426,51,484,78,513,433,433,99.8,25.4,1711
Ap-33-03,BAUC01000062.159.1682,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella hoshinae NBRC 105699 = ATCC 33379,0,854.272,462,15,499,42,528,481,481,99.2,31.8,1523
Ap-33-04,,,,,,,,,,,,,,,,,,,,
Ap-33-06,BAUC01000062.159.1682,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella hoshinae NBRC 105699 = ATCC 33379,0,861.659,466,16,490,42,517,473,473,99.6,29.4,1614
Ap-33-06,KX671997.1.1470,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,0,872.739,472,14,514,14,516,495,495,98.8,23.3,2148
Ap-33-07,CP000970.232907.234448,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli SMS-3-5,0,841.346,455,11,486,44,520,471,471,98.9,26,1834
Ap-33-08,,,,,,,,,,,,,,,,,,,,
Ap-35-01,,,,,,,,,,,,,,,,,,,,
Ap-35-03,,,,,,,,,,,,,,,,,,,,
Ap-35-09,HM449702.1.1428,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,0,826.573,447,19,465,16,462,447,447,100,37.6,1188
Ap-37-02,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,869.046,470,17,499,13,493,480,480,99.4,31.4,1536
Ap-37-03,KP789326.1.1444,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,889.359,481,13,500,11,497,486,486,99.6,34.1,1432
Ap-37-09,KP789333.1.1439,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,0,856.119,463,16,490,12,486,472,472,99.4,22.6,2105
Ap-38-01,JN698673.1.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,0,835.806,452,20,490,22,496,468,468,99.4,24.2,1946
Ap-38-02,KF991498.1.1293,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Klebsiella sp. SUS2K,0,839.499,454,12,493,14,499,476,476,98.8,27.9,1729
Ap-38-09,EU878340.1.1552,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,uncultured bacterium,0,872.739,472,13,518,37,541,498,498,98.4,26.4,1914
Ap-39-04,JQ208604.1.1357,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,uncultured bacterium,0,737.934,399,26,498,26,501,451,451,95.3,92.2,513
Ap-N-01-01,KU711814.1.1430,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,747.167,404,20,499,1,473,456,456,95,92.8,517
Ap-N-01-03-2,KX214769.1.1492,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Atlantibacter,Kosakonia sp.,6.79E-29,134.079,72,21,239,16,205,176,176,80.4,13.6,1609
Ap-N-01-04,KU711814.1.1430,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Edwardsiella,Edwardsiella tarda,0,776.713,420,18,492,1,473,457,457,96.2,72.7,653
Ap-N-02-01,KJ803869.1.1429,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Cronobacter sakazakii,0,863.506,467,15,490,2,477,474,474,99.6,27.6,1727
Ap-N-02-03,KC210811.1.1438,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,0,843.193,456,18,507,7,495,482,482,98.4,33.7,1454
Ap-N--02-07,KF079392.1.1345,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,uncultured bacterium,2.73E-13,80.5262,43,302,374,304,376,63,63,86.3,14.4,508
Ap-N-02-09,KJ803869.1.1429,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Cronobacter sakazakii,0,857.966,464,13,488,2,477,473,473,99.4,27.8,1710
Ap-N-11-01,LC027448.1.1402,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,Pantoea sp. NIASMII,2.41E-103,379.683,205,22,491,1,469,385,385,81.9,92.2,510
Ap-N-11-04,KC920584.1.1487,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Shigella sp. 09-A2,0,874.586,473,11,504,11,504,489,489,99,37.9,1302
